time,node_id,node_type,capacity,queue,load_ratio,is_overload,active_orders,delivered_orders,stuck_orders,predicted_risk
0,pvz12,pvz,83,0,0.0,0,248,0,0,
0,pvz13,pvz,86,0,0.0,0,248,0,0,
0,pvz14,pvz,72,0,0.0,0,248,0,0,
0,pvz15,pvz,82,0,0.0,0,248,0,0,
0,pvz16,pvz,86,0,0.0,0,248,0,0,
0,pvz17,pvz,85,0,0.0,0,248,0,0,
0,pvz18,pvz,81,0,0.0,0,248,0,0,
0,pvz19,pvz,80,0,0.0,0,248,0,0,
0,pvz20,pvz,60,0,0.0,0,248,0,0,
0,pvz21,pvz,79,0,0.0,0,248,0,0,
0,pvz22,pvz,75,0,0.0,0,248,0,0,
0,pvz23,pvz,86,0,0.0,0,248,0,0,
0,pvz24,pvz,87,0,0.0,0,248,0,0,
0,pvz25,pvz,70,0,0.0,0,248,0,0,
0,pvz26,pvz,67,0,0.0,0,248,0,0,
0,pvz27,pvz,83,0,0.0,0,248,0,0,
0,pvz28,pvz,70,0,0.0,0,248,0,0,
0,pvz29,pvz,82,0,0.0,0,248,0,0,
0,pvz30,pvz,87,0,0.0,0,248,0,0,
0,pvz31,pvz,62,0,0.0,0,248,0,0,
0,pvz32,pvz,66,0,0.0,0,248,0,0,
0,pvz33,pvz,89,0,0.0,0,248,0,0,
0,pvz34,pvz,78,0,0.0,0,248,0,0,
0,pvz35,pvz,67,0,0.0,0,248,0,0,
0,pvz36,pvz,67,0,0.0,0,248,0,0,
0,pvz37,pvz,85,0,0.0,0,248,0,0,
0,pvz38,pvz,90,0,0.0,0,248,0,0,
0,pvz39,pvz,64,0,0.0,0,248,0,0,
0,pvz40,pvz,85,0,0.0,0,248,0,0,
0,pvz41,pvz,77,0,0.0,0,248,0,0,
0,pvz42,pvz,74,0,0.0,0,248,0,0,
0,pvz43,pvz,62,0,0.0,0,248,0,0,
0,pvz44,pvz,62,0,0.0,0,248,0,0,
0,pvz45,pvz,70,0,0.0,0,248,0,0,
0,pvz46,pvz,88,0,0.0,0,248,0,0,
0,pvz47,pvz,76,0,0.0,0,248,0,0,
0,pvz48,pvz,89,0,0.0,0,248,0,0,
0,pvz49,pvz,75,0,0.0,0,248,0,0,
1,wh0,warehouse,84,0,0.0,0,484,0,0,
1,wh1,warehouse,86,0,0.0,0,484,0,0,
1,wh2,warehouse,62,0,0.0,0,484,0,0,
1,wh3,warehouse,76,0,0.0,0,484,0,0,
1,wh4,warehouse,92,0,0.0,0,484,0,0,
1,wh5,warehouse,91,0,0.0,0,484,0,0,
1,wh6,warehouse,85,0,0.0,0,484,0,0,
1,wh7,warehouse,79,0,0.0,0,484,0,0,
1,wh8,warehouse,90,0,0.0,0,484,0,0,
1,wh9,warehouse,82,0,0.0,0,484,0,0,
1,hub0,hub,14,6,0.42857142857142855,0,484,0,0,
1,hub1,hub,11,13,1.1818181818181819,1,484,0,0,
1,hub2,hub,14,3,0.21428571428571427,0,484,0,0,
1,hub3,hub,11,9,0.8181818181818182,0,484,0,0,
1,hub4,hub,12,17,1.4166666666666667,1,484,0,0,
1,hub5,hub,11,0,0.0,0,484,0,0,
1,hub6,hub,10,5,0.5,0,484,0,0,
1,hub7,hub,14,4,0.2857142857142857,0,484,0,0,
1,hub8,hub,12,1,0.08333333333333333,0,484,0,0,
1,hub9,hub,14,17,1.2142857142857142,1,484,0,0,
1,hub10,hub,14,35,2.5,1,484,0,0,
1,hub11,hub,11,23,2.090909090909091,1,484,0,0,
1,hub12,hub,12,1,0.08333333333333333,0,484,0,0,
1,hub13,hub,10,10,1.0,0,484,0,0,
1,hub14,hub,10,4,0.4,0,484,0,0,
1,hub15,hub,12,10,0.8333333333333334,0,484,0,0,
1,hub16,hub,13,12,0.9230769230769231,0,484,0,0,
1,hub17,hub,14,37,2.642857142857143,1,484,0,0,
1,hub18,hub,10,27,2.7,1,484,0,0,
1,hub19,hub,12,12,1.0,0,484,0,0,
1,hub20,hub,13,17,1.3076923076923077,1,484,0,0,
1,hub21,hub,12,1,0.08333333333333333,0,484,0,0,
1,hub22,hub,14,18,1.2857142857142858,1,484,0,0,
1,hub23,hub,11,7,0.6363636363636364,0,484,0,0,
1,hub24,hub,14,4,0.2857142857142857,0,484,0,0,
1,pvz0,pvz,75,2,0.02666666666666667,0,484,0,0,
1,pvz1,pvz,74,1,0.013513513513513514,0,484,0,0,
1,pvz2,pvz,87,3,0.034482758620689655,0,484,0,0,
1,pvz3,pvz,76,9,0.11842105263157894,0,484,0,0,
1,pvz4,pvz,68,1,0.014705882352941176,0,484,0,0,
1,pvz5,pvz,61,5,0.08196721311475409,0,484,0,0,
1,pvz6,pvz,85,1,0.011764705882352941,0,484,0,0,
1,pvz7,pvz,89,12,0.1348314606741573,0,484,0,0,
1,pvz8,pvz,77,3,0.03896103896103896,0,484,0,0,
1,pvz9,pvz,89,6,0.06741573033707865,0,484,0,0,
1,pvz10,pvz,60,2,0.03333333333333333,0,484,0,0,
1,pvz11,pvz,62,6,0.0967741935483871,0,484,0,0,
1,pvz12,pvz,83,2,0.024096385542168676,0,484,0,0,
1,pvz13,pvz,86,2,0.023255813953488372,0,484,0,0,
1,pvz14,pvz,72,5,0.06944444444444445,0,484,0,0,
1,pvz15,pvz,82,0,0.0,0,484,0,0,
1,pvz16,pvz,86,1,0.011627906976744186,0,484,0,0,
1,pvz17,pvz,85,1,0.011764705882352941,0,484,0,0,
1,pvz18,pvz,81,4,0.04938271604938271,0,484,0,0,
1,pvz19,pvz,80,1,0.0125,0,484,0,0,
1,pvz20,pvz,60,5,0.08333333333333333,0,484,0,0,
1,pvz21,pvz,79,7,0.08860759493670886,0,484,0,0,
1,pvz22,pvz,75,5,0.06666666666666667,0,484,0,0,
1,pvz23,pvz,86,0,0.0,0,484,0,0,
1,pvz24,pvz,87,3,0.034482758620689655,0,484,0,0,
1,pvz25,pvz,70,9,0.12857142857142856,0,484,0,0,
1,pvz26,pvz,67,1,0.014925373134328358,0,484,0,0,
1,pvz27,pvz,83,4,0.04819277108433735,0,484,0,0,
1,pvz28,pvz,70,3,0.04285714285714286,0,484,0,0,
1,pvz29,pvz,82,11,0.13414634146341464,0,484,0,0,
1,pvz30,pvz,87,2,0.022988505747126436,0,484,0,0,
1,pvz31,pvz,62,1,0.016129032258064516,0,484,0,0,
1,pvz32,pvz,66,5,0.07575757575757576,0,484,0,0,
1,pvz33,pvz,89,3,0.033707865168539325,0,484,0,0,
1,pvz34,pvz,78,11,0.14102564102564102,0,484,0,0,
1,pvz35,pvz,67,2,0.029850746268656716,0,484,0,0,
1,pvz36,pvz,67,0,0.0,0,484,0,0,
1,pvz37,pvz,85,2,0.023529411764705882,0,484,0,0,
1,pvz38,pvz,90,2,0.022222222222222223,0,484,0,0,
1,pvz39,pvz,64,3,0.046875,0,484,0,0,
1,pvz40,pvz,85,7,0.08235294117647059,0,484,0,0,
1,pvz41,pvz,77,0,0.0,0,484,0,0,
1,pvz42,pvz,74,2,0.02702702702702703,0,484,0,0,
1,pvz43,pvz,62,2,0.03225806451612903,0,484,0,0,
1,pvz44,pvz,62,4,0.06451612903225806,0,484,0,0,
1,pvz45,pvz,70,7,0.1,0,484,0,0,
1,pvz46,pvz,88,2,0.022727272727272728,0,484,0,0,
1,pvz47,pvz,76,3,0.039473684210526314,0,484,0,0,
1,pvz48,pvz,89,8,0.0898876404494382,0,484,0,0,
1,pvz49,pvz,75,10,0.13333333333333333,0,484,0,0,
2,wh0,warehouse,84,0,0.0,0,507,191,0,
2,wh1,warehouse,86,0,0.0,0,507,191,0,
2,wh2,warehouse,62,0,0.0,0,507,191,0,
2,wh3,warehouse,76,0,0.0,0,507,191,0,
2,wh4,warehouse,92,0,0.0,0,507,191,0,
2,wh5,warehouse,91,0,0.0,0,507,191,0,
2,wh6,warehouse,85,0,0.0,0,507,191,0,
2,wh7,warehouse,79,0,0.0,0,507,191,0,
2,wh8,warehouse,90,0,0.0,0,507,191,0,
2,wh9,warehouse,82,0,0.0,0,507,191,0,
2,hub0,hub,14,10,0.7142857142857143,0,507,191,0,
2,hub1,hub,11,13,1.1818181818181819,1,507,191,0,
2,hub2,hub,14,4,0.2857142857142857,0,507,191,0,
2,hub3,hub,11,6,0.5454545454545454,0,507,191,0,
2,hub4,hub,12,17,1.4166666666666667,1,507,191,0,
2,hub5,hub,11,0,0.0,0,507,191,0,
2,hub6,hub,10,13,1.3,1,507,191,0,
2,hub7,hub,14,4,0.2857142857142857,0,507,191,0,
2,hub8,hub,12,0,0.0,0,507,191,0,
2,hub9,hub,14,8,0.5714285714285714,0,507,191,0,
2,hub10,hub,14,48,3.4285714285714284,1,507,191,0,
2,hub11,hub,11,25,2.272727272727273,1,507,191,0,
2,hub12,hub,12,1,0.08333333333333333,0,507,191,0,
2,hub13,hub,10,12,1.2,1,507,191,0,
2,hub14,hub,10,5,0.5,0,507,191,0,
2,hub15,hub,12,5,0.4166666666666667,0,507,191,0,
2,hub16,hub,13,5,0.38461538461538464,0,507,191,0,
2,hub17,hub,14,44,3.142857142857143,1,507,191,0,
2,hub18,hub,10,30,3.0,1,507,191,0,
2,hub19,hub,12,10,0.8333333333333334,0,507,191,0,
2,hub20,hub,13,14,1.0769230769230769,1,507,191,0,
2,hub21,hub,12,2,0.16666666666666666,0,507,191,0,
2,hub22,hub,14,14,1.0,0,507,191,0,
2,hub23,hub,11,8,0.7272727272727273,0,507,191,0,
2,hub24,hub,14,7,0.5,0,507,191,0,
2,pvz0,pvz,75,3,0.04,0,507,191,0,
2,pvz1,pvz,74,4,0.05405405405405406,0,507,191,0,
2,pvz2,pvz,87,1,0.011494252873563218,0,507,191,0,
2,pvz3,pvz,76,9,0.11842105263157894,0,507,191,0,
2,pvz4,pvz,68,2,0.029411764705882353,0,507,191,0,
2,pvz5,pvz,61,15,0.2459016393442623,0,507,191,0,
2,pvz6,pvz,85,3,0.03529411764705882,0,507,191,0,
2,pvz7,pvz,89,9,0.10112359550561797,0,507,191,0,
2,pvz8,pvz,77,3,0.03896103896103896,0,507,191,0,
2,pvz9,pvz,89,8,0.0898876404494382,0,507,191,0,
2,pvz10,pvz,60,0,0.0,0,507,191,0,
2,pvz11,pvz,62,6,0.0967741935483871,0,507,191,0,
2,pvz12,pvz,83,2,0.024096385542168676,0,507,191,0,
2,pvz13,pvz,86,7,0.08139534883720931,0,507,191,0,
2,pvz14,pvz,72,8,0.1111111111111111,0,507,191,0,
2,pvz15,pvz,82,1,0.012195121951219513,0,507,191,0,
2,pvz16,pvz,86,10,0.11627906976744186,0,507,191,0,
2,pvz17,pvz,85,0,0.0,0,507,191,0,
2,pvz18,pvz,81,0,0.0,0,507,191,0,
2,pvz19,pvz,80,2,0.025,0,507,191,0,
2,pvz20,pvz,60,0,0.0,0,507,191,0,
2,pvz21,pvz,79,4,0.05063291139240506,0,507,191,0,
2,pvz22,pvz,75,9,0.12,0,507,191,0,
2,pvz23,pvz,86,4,0.046511627906976744,0,507,191,0,
2,pvz24,pvz,87,1,0.011494252873563218,0,507,191,0,
2,pvz25,pvz,70,6,0.08571428571428572,0,507,191,0,
2,pvz26,pvz,67,2,0.029850746268656716,0,507,191,0,
2,pvz27,pvz,83,6,0.07228915662650602,0,507,191,0,
2,pvz28,pvz,70,1,0.014285714285714285,0,507,191,0,
2,pvz29,pvz,82,7,0.08536585365853659,0,507,191,0,
2,pvz30,pvz,87,5,0.05747126436781609,0,507,191,0,
2,pvz31,pvz,62,1,0.016129032258064516,0,507,191,0,
2,pvz32,pvz,66,8,0.12121212121212122,0,507,191,0,
2,pvz33,pvz,89,3,0.033707865168539325,0,507,191,0,
2,pvz34,pvz,78,6,0.07692307692307693,0,507,191,0,
2,pvz35,pvz,67,2,0.029850746268656716,0,507,191,0,
2,pvz36,pvz,67,5,0.07462686567164178,0,507,191,0,
2,pvz37,pvz,85,1,0.011764705882352941,0,507,191,0,
2,pvz38,pvz,90,4,0.044444444444444446,0,507,191,0,
2,pvz39,pvz,64,2,0.03125,0,507,191,0,
2,pvz40,pvz,85,6,0.07058823529411765,0,507,191,0,
2,pvz41,pvz,77,2,0.025974025974025976,0,507,191,0,
2,pvz42,pvz,74,2,0.02702702702702703,0,507,191,0,
2,pvz43,pvz,62,1,0.016129032258064516,0,507,191,0,
2,pvz44,pvz,62,0,0.0,0,507,191,0,
2,pvz45,pvz,70,4,0.05714285714285714,0,507,191,0,
2,pvz46,pvz,88,1,0.011363636363636364,0,507,191,0,
2,pvz47,pvz,76,4,0.05263157894736842,0,507,191,0,
2,pvz48,pvz,89,8,0.0898876404494382,0,507,191,0,
2,pvz49,pvz,75,4,0.05333333333333334,0,507,191,0,
3,wh0,warehouse,84,0,0.0,0,492,393,0,
3,wh1,warehouse,86,0,0.0,0,492,393,0,
3,wh2,warehouse,62,0,0.0,0,492,393,0,
3,wh3,warehouse,76,0,0.0,0,492,393,0,
3,wh4,warehouse,92,0,0.0,0,492,393,0,
3,wh5,warehouse,91,0,0.0,0,492,393,0,
3,wh6,warehouse,85,0,0.0,0,492,393,0,
3,wh7,warehouse,79,0,0.0,0,492,393,0,
3,wh8,warehouse,90,0,0.0,0,492,393,0,
3,wh9,warehouse,82,0,0.0,0,492,393,0,
3,hub0,hub,14,4,0.2857142857142857,0,492,393,0,
3,hub1,hub,11,11,1.0,0,492,393,0,
3,hub2,hub,14,3,0.21428571428571427,0,492,393,0,
3,hub3,hub,11,8,0.7272727272727273,0,492,393,0,
3,hub4,hub,12,14,1.1666666666666667,1,492,393,0,
3,hub5,hub,11,0,0.0,0,492,393,0,
3,hub6,hub,10,9,0.9,0,492,393,0,
3,hub7,hub,14,5,0.35714285714285715,0,492,393,0,
3,hub8,hub,12,2,0.16666666666666666,0,492,393,0,
3,hub9,hub,14,13,0.9285714285714286,0,492,393,0,
3,hub10,hub,14,55,3.9285714285714284,1,492,393,0,
3,hub11,hub,11,30,2.727272727272727,1,492,393,0,
3,hub12,hub,12,3,0.25,0,492,393,0,
3,hub13,hub,10,6,0.6,0,492,393,0,
3,hub14,hub,10,1,0.1,0,492,393,0,
3,hub15,hub,12,4,0.3333333333333333,0,492,393,0,
3,hub16,hub,13,11,0.8461538461538461,0,492,393,0,
3,hub17,hub,14,46,3.2857142857142856,1,492,393,0,
3,hub18,hub,10,27,2.7,1,492,393,0,
3,hub19,hub,12,7,0.5833333333333334,0,492,393,0,
3,hub20,hub,13,14,1.0769230769230769,1,492,393,0,
3,hub21,hub,12,5,0.4166666666666667,0,492,393,0,
3,hub22,hub,14,14,1.0,0,492,393,0,
3,hub23,hub,11,6,0.5454545454545454,0,492,393,0,
3,hub24,hub,14,1,0.07142857142857142,0,492,393,0,
3,pvz0,pvz,75,1,0.013333333333333334,0,492,393,0,
3,pvz1,pvz,74,2,0.02702702702702703,0,492,393,0,
3,pvz2,pvz,87,1,0.011494252873563218,0,492,393,0,
3,pvz3,pvz,76,12,0.15789473684210525,0,492,393,0,
3,pvz4,pvz,68,1,0.014705882352941176,0,492,393,0,
3,pvz5,pvz,61,5,0.08196721311475409,0,492,393,0,
3,pvz6,pvz,85,4,0.047058823529411764,0,492,393,0,
3,pvz7,pvz,89,7,0.07865168539325842,0,492,393,0,
3,pvz8,pvz,77,2,0.025974025974025976,0,492,393,0,
3,pvz9,pvz,89,7,0.07865168539325842,0,492,393,0,
3,pvz10,pvz,60,2,0.03333333333333333,0,492,393,0,
3,pvz11,pvz,62,6,0.0967741935483871,0,492,393,0,
3,pvz12,pvz,83,2,0.024096385542168676,0,492,393,0,
3,pvz13,pvz,86,8,0.09302325581395349,0,492,393,0,
3,pvz14,pvz,72,8,0.1111111111111111,0,492,393,0,
3,pvz15,pvz,82,0,0.0,0,492,393,0,
3,pvz16,pvz,86,5,0.05813953488372093,0,492,393,0,
3,pvz17,pvz,85,2,0.023529411764705882,0,492,393,0,
3,pvz18,pvz,81,2,0.024691358024691357,0,492,393,0,
3,pvz19,pvz,80,1,0.0125,0,492,393,0,
3,pvz20,pvz,60,3,0.05,0,492,393,0,
3,pvz21,pvz,79,3,0.0379746835443038,0,492,393,0,
3,pvz22,pvz,75,7,0.09333333333333334,0,492,393,0,
3,pvz23,pvz,86,1,0.011627906976744186,0,492,393,0,
3,pvz24,pvz,87,2,0.022988505747126436,0,492,393,0,
3,pvz25,pvz,70,8,0.11428571428571428,0,492,393,0,
3,pvz26,pvz,67,1,0.014925373134328358,0,492,393,0,
3,pvz27,pvz,83,10,0.12048192771084337,0,492,393,0,
3,pvz28,pvz,70,1,0.014285714285714285,0,492,393,0,
3,pvz29,pvz,82,10,0.12195121951219512,0,492,393,0,
3,pvz30,pvz,87,0,0.0,0,492,393,0,
3,pvz31,pvz,62,2,0.03225806451612903,0,492,393,0,
3,pvz32,pvz,66,3,0.045454545454545456,0,492,393,0,
3,pvz33,pvz,89,1,0.011235955056179775,0,492,393,0,
3,pvz34,pvz,78,8,0.10256410256410256,0,492,393,0,
3,pvz35,pvz,67,1,0.014925373134328358,0,492,393,0,
3,pvz36,pvz,67,2,0.029850746268656716,0,492,393,0,
3,pvz37,pvz,85,5,0.058823529411764705,0,492,393,0,
3,pvz38,pvz,90,2,0.022222222222222223,0,492,393,0,
3,pvz39,pvz,64,3,0.046875,0,492,393,0,
3,pvz40,pvz,85,5,0.058823529411764705,0,492,393,0,
3,pvz41,pvz,77,1,0.012987012987012988,0,492,393,0,
3,pvz42,pvz,74,1,0.013513513513513514,0,492,393,0,
3,pvz43,pvz,62,3,0.04838709677419355,0,492,393,0,
3,pvz44,pvz,62,2,0.03225806451612903,0,492,393,0,
3,pvz45,pvz,70,6,0.08571428571428572,0,492,393,0,
3,pvz46,pvz,88,2,0.022727272727272728,0,492,393,0,
3,pvz47,pvz,76,6,0.07894736842105263,0,492,393,0,
3,pvz48,pvz,89,10,0.11235955056179775,0,492,393,0,
3,pvz49,pvz,75,6,0.08,0,492,393,0,
4,wh0,warehouse,84,0,0.0,0,453,586,0,
4,wh1,warehouse,86,0,0.0,0,453,586,0,
4,wh2,warehouse,62,0,0.0,0,453,586,0,
4,wh3,warehouse,76,0,0.0,0,453,586,0,
4,wh4,warehouse,92,0,0.0,0,453,586,0,
4,wh5,warehouse,91,0,0.0,0,453,586,0,
4,wh6,warehouse,85,0,0.0,0,453,586,0,
4,wh7,warehouse,79,0,0.0,0,453,586,0,
4,wh8,warehouse,90,0,0.0,0,453,586,0,
4,wh9,warehouse,82,0,0.0,0,453,586,0,
4,hub0,hub,14,6,0.42857142857142855,0,453,586,0,
4,hub1,hub,11,8,0.7272727272727273,0,453,586,0,
4,hub2,hub,14,3,0.21428571428571427,0,453,586,0,
4,hub3,hub,11,4,0.36363636363636365,0,453,586,0,
4,hub4,hub,12,9,0.75,0,453,586,0,
4,hub5,hub,11,0,0.0,0,453,586,0,
4,hub6,hub,10,8,0.8,0,453,586,0,
4,hub7,hub,14,4,0.2857142857142857,0,453,586,0,
4,hub8,hub,12,1,0.08333333333333333,0,453,586,0,
4,hub9,hub,14,7,0.5,0,453,586,0,
4,hub10,hub,14,58,4.142857142857143,1,453,586,0,
4,hub11,hub,11,31,2.8181818181818183,1,453,586,0,
4,hub12,hub,12,2,0.16666666666666666,0,453,586,0,
4,hub13,hub,10,8,0.8,0,453,586,0,
4,hub14,hub,10,4,0.4,0,453,586,0,
4,hub15,hub,12,3,0.25,0,453,586,0,
4,hub16,hub,13,2,0.15384615384615385,0,453,586,0,
4,hub17,hub,14,49,3.5,1,453,586,0,
4,hub18,hub,10,26,2.6,1,453,586,0,
4,hub19,hub,12,13,1.0833333333333333,1,453,586,0,
4,hub20,hub,13,2,0.15384615384615385,0,453,586,0,
4,hub21,hub,12,0,0.0,0,453,586,0,
4,hub22,hub,14,10,0.7142857142857143,0,453,586,0,
4,hub23,hub,11,8,0.7272727272727273,0,453,586,0,
4,hub24,hub,14,0,0.0,0,453,586,0,
4,pvz0,pvz,75,1,0.013333333333333334,0,453,586,0,
4,pvz1,pvz,74,1,0.013513513513513514,0,453,586,0,
4,pvz2,pvz,87,2,0.022988505747126436,0,453,586,0,
4,pvz3,pvz,76,7,0.09210526315789473,0,453,586,0,
4,pvz4,pvz,68,1,0.014705882352941176,0,453,586,0,
4,pvz5,pvz,61,7,0.11475409836065574,0,453,586,0,
4,pvz6,pvz,85,3,0.03529411764705882,0,453,586,0,
4,pvz7,pvz,89,11,0.12359550561797752,0,453,586,0,
4,pvz8,pvz,77,2,0.025974025974025976,0,453,586,0,
4,pvz9,pvz,89,6,0.06741573033707865,0,453,586,0,
4,pvz10,pvz,60,2,0.03333333333333333,0,453,586,0,
4,pvz11,pvz,62,7,0.11290322580645161,0,453,586,0,
4,pvz12,pvz,83,1,0.012048192771084338,0,453,586,0,
4,pvz13,pvz,86,7,0.08139534883720931,0,453,586,0,
4,pvz14,pvz,72,8,0.1111111111111111,0,453,586,0,
4,pvz15,pvz,82,1,0.012195121951219513,0,453,586,0,
4,pvz16,pvz,86,6,0.06976744186046512,0,453,586,0,
4,pvz17,pvz,85,2,0.023529411764705882,0,453,586,0,
4,pvz18,pvz,81,2,0.024691358024691357,0,453,586,0,
4,pvz19,pvz,80,1,0.0125,0,453,586,0,
4,pvz20,pvz,60,0,0.0,0,453,586,0,
4,pvz21,pvz,79,6,0.0759493670886076,0,453,586,0,
4,pvz22,pvz,75,4,0.05333333333333334,0,453,586,0,
4,pvz23,pvz,86,3,0.03488372093023256,0,453,586,0,
4,pvz24,pvz,87,2,0.022988505747126436,0,453,586,0,
4,pvz25,pvz,70,6,0.08571428571428572,0,453,586,0,
4,pvz26,pvz,67,1,0.014925373134328358,0,453,586,0,
4,pvz27,pvz,83,3,0.03614457831325301,0,453,586,0,
4,pvz28,pvz,70,2,0.02857142857142857,0,453,586,0,
4,pvz29,pvz,82,9,0.10975609756097561,0,453,586,0,
4,pvz30,pvz,87,2,0.022988505747126436,0,453,586,0,
4,pvz31,pvz,62,2,0.03225806451612903,0,453,586,0,
4,pvz32,pvz,66,9,0.13636363636363635,0,453,586,0,
4,pvz33,pvz,89,4,0.0449438202247191,0,453,586,0,
4,pvz34,pvz,78,10,0.1282051282051282,0,453,586,0,
4,pvz35,pvz,67,2,0.029850746268656716,0,453,586,0,
4,pvz36,pvz,67,1,0.014925373134328358,0,453,586,0,
4,pvz37,pvz,85,1,0.011764705882352941,0,453,586,0,
4,pvz38,pvz,90,1,0.011111111111111112,0,453,586,0,
4,pvz39,pvz,64,5,0.078125,0,453,586,0,
4,pvz40,pvz,85,4,0.047058823529411764,0,453,586,0,
4,pvz41,pvz,77,1,0.012987012987012988,0,453,586,0,
4,pvz42,pvz,74,2,0.02702702702702703,0,453,586,0,
4,pvz43,pvz,62,2,0.03225806451612903,0,453,586,0,
4,pvz44,pvz,62,1,0.016129032258064516,0,453,586,0,
4,pvz45,pvz,70,7,0.1,0,453,586,0,
4,pvz46,pvz,88,3,0.03409090909090909,0,453,586,0,
4,pvz47,pvz,76,6,0.07894736842105263,0,453,586,0,
4,pvz48,pvz,89,6,0.06741573033707865,0,453,586,0,
4,pvz49,pvz,75,4,0.05333333333333334,0,453,586,0,
5,wh0,warehouse,84,0,0.0,0,499,773,0,
5,wh1,warehouse,86,0,0.0,0,499,773,0,
5,wh2,warehouse,62,0,0.0,0,499,773,0,
5,wh3,warehouse,76,0,0.0,0,499,773,0,
5,wh4,warehouse,92,0,0.0,0,499,773,0,
5,wh5,warehouse,91,0,0.0,0,499,773,0,
5,wh6,warehouse,85,0,0.0,0,499,773,0,
5,wh7,warehouse,79,0,0.0,0,499,773,0,
5,wh8,warehouse,90,0,0.0,0,499,773,0,
5,wh9,warehouse,82,0,0.0,0,499,773,0,
5,hub0,hub,14,8,0.5714285714285714,0,499,773,0,
5,hub1,hub,11,11,1.0,0,499,773,0,
5,hub2,hub,14,6,0.42857142857142855,0,499,773,0,
5,hub3,hub,11,12,1.0909090909090908,1,499,773,0,
5,hub4,hub,12,12,1.0,0,499,773,0,
5,hub5,hub,11,0,0.0,0,499,773,0,
5,hub6,hub,10,4,0.4,0,499,773,0,
5,hub7,hub,14,6,0.42857142857142855,0,499,773,0,
5,hub8,hub,12,3,0.25,0,499,773,0,
5,hub9,hub,14,15,1.0714285714285714,1,499,773,0,
5,hub10,hub,14,76,5.428571428571429,1,499,773,0,
5,hub11,hub,11,26,2.3636363636363638,1,499,773,0,
5,hub12,hub,12,1,0.08333333333333333,0,499,773,0,
5,hub13,hub,10,8,0.8,0,499,773,0,
5,hub14,hub,10,4,0.4,0,499,773,0,
5,hub15,hub,12,4,0.3333333333333333,0,499,773,0,
5,hub16,hub,13,6,0.46153846153846156,0,499,773,0,
5,hub17,hub,14,56,4.0,1,499,773,0,
5,hub18,hub,10,34,3.4,1,499,773,0,
5,hub19,hub,12,10,0.8333333333333334,0,499,773,0,
5,hub20,hub,13,13,1.0,0,499,773,0,
5,hub21,hub,12,4,0.3333333333333333,0,499,773,0,
5,hub22,hub,14,13,0.9285714285714286,0,499,773,0,
